kdrama_name,episodes,start_airing,end_airing,duration,score,scored_by,ranked,popularity,content_rating,watchers
Chocolate,16,2019-11-29,2020-01-18,65.0,8.1,11475.0,1791,459,15+ - Teens 15 or older,26005
Chunja's Special Day,111,2008-05-19,2008-11-13,,7.4,22.0,78360,99999,Not Yet Rated,161
Cinderella Man,122,2017-05-15,2017-11-24,35.0,7.5,29.0,75616,10515,15+ - Teens 15 or older,540
Cinderella with Four Knights,16,2016-08-12,2016-10-01,60.0,7.8,53493.0,3494,34,15+ - Teens 15 or older,101217
Cinderella's Stepsister,16,2016-08-12,2016-10-01,60.0,7.8,53493.0,3494,34,15+ - Teens 15 or older,101217
Circle,12,2017-05-22,2017-06-27,65.0,8.4,9644.0,651,413,15+ - Teens 15 or older,28122
City Conquest,16,,,,,,36655,3670,Not Yet Rated,3062
City Hunter,20,2011-05-25,2011-07-28,70.0,8.3,42454.0,921,62,15+ - Teens 15 or older,83860
City of the Sun,16,2015-01-30,2015-04-07,,6.4,12.0,89223,10840,15+ - Teens 15 or older,511
Class of Lies,16,2019-07-17,2019-09-05,70.0,8.3,9017.0,905,472,15+ - Teens 15 or older,25583
Clean with Passion for Now,16,2018-11-26,2019-02-04,70.0,7.7,25509.0,4183,151,15+ - Teens 15 or older,53921
Cleaning Up,16,2022-06-04,2022-07-24,70.0,7.6,578.0,5000,3820,15+ - Teens 15 or older,2890
Coffee House,10,2015-10-08,2015-11-06,19.0,6.9,622.0,8535,5919,15+ - Teens 15 or older,1470
Coffee Prince,17,2007-07-02,2007-08-28,60.0,8.3,50471.0,1130,46,15+ - Teens 15 or older,92630
"Coffee, Do Me a Favor",12,2018-12-01,2018-12-30,55.0,6.7,1412.0,8955,3152,13+ - Teens 13 or older,3762
Color Rush,8,2020-12-30,2021-01-21,15.0,7.6,30056.0,4843,187,15+ - Teens 15 or older,48298
Coma,5,2006-07-21,2006-08-18,60.0,7.0,301.0,8274,8257,15+ - Teens 15 or older,846
Come and Hug Me,32,2018-05-16,2018-07-19,35.0,8.3,18800.0,861,181,15+ - Teens 15 or older,48768
Come Back Mister,16,2016-02-24,2016-04-14,60.0,7.9,10703.0,2483,432,15+ - Teens 15 or older,27196
Confession,16,2019-03-23,2019-05-12,60.0,8.3,3238.0,916,1198,15+ - Teens 15 or older,11614
Connect,5,2019-11-02,2019-11-30,,8.7,5.0,65683,99999,G - All Ages,80
Conspiracy in the Court,8,2007-07-09,2007-07-31,70.0,7.4,199.0,6300,8085,Not Yet Rated,878
"Cool Guys, Hot Ramen",16,2011-10-31,2011-12-20,45.0,7.4,20501.0,6672,255,15+ - Teens 15 or older,39501
Couple or Trouble,16,2006-10-14,2006-12-03,65.0,7.5,2886.0,5886,2282,15+ - Teens 15 or older,5590
Crash Course in Romance,16,2023-01-14,2023-03-05,75.0,8.4,22998.0,632,227,15+ - Teens 15 or older,42329
Crash Landing on You,16,2019-12-14,2020-02-16,85.0,9.0,94569.0,50,8,15+ - Teens 15 or older,164317
Crazy Love,100,2013-04-08,2013-09-17,50.0,6.9,243.0,8635,7117,Not Yet Rated,1095
Creating Destiny,20,2013-10-09,2013-12-12,60.0,7.2,2393.0,7833,1921,15+ - Teens 15 or older,6905
Criminal Minds,20,2017-07-26,2017-09-28,60.0,7.8,7015.0,3568,577,15+ - Teens 15 or older,22323
Cross,16,2018-01-29,2018-03-20,60.0,7.9,2080.0,2488,2118,15+ - Teens 15 or older,6136
Cruel Love,0,,,,,,37489,11620,Not Yet Rated,445
Cunning Single Lady,16,2014-02-27,2014-04-24,62.0,7.8,14664.0,3154,410,15+ - Teens 15 or older,28352
Curtain Call,16,2022-10-31,2022-12-27,60.0,7.7,1563.0,4032,1888,13+ - Teens 13 or older,7041
D-Day,20,2015-09-18,2015-11-21,65.0,8.2,8723.0,1179,585,15+ - Teens 15 or older,22122
D.P.,6,,,50.0,8.8,25811.0,141,176,15+ - Teens 15 or older,49265
Dae Jang Geum Is Watching,16,2018-10-11,2019-01-24,70.0,7.5,1052.0,5270,3007,15+ - Teens 15 or older,4015
Dae Jo-yeong,134,2006-09-16,2007-12-23,60.0,8.0,178.0,69633,8788,15+ - Teens 15 or older,756
Daemyeong,50,1981-01-05,1981-12-28,50.0,8.0,1.0,99999,99999,Not Yet Rated,18
Daily Dose of Sunshine,12,,,,,,37278,2594,15+ - Teens 15 or older,4879
Dal-ja's Spring,22,2007-01-03,2007-03-15,70.0,7.6,3527.0,4509,1899,15+ - Teens 15 or older,6995
Dali & Cocky Prince,16,2021-09-22,2021-11-11,65.0,8.4,20186.0,600,236,15+ - Teens 15 or older,41458
Damo,14,2003-07-28,2003-09-09,65.0,7.7,1228.0,4299,3436,15+ - Teens 15 or older,3363
Dangerous Woman,124,2011-10-10,2012-03-30,69.0,7.0,11.0,83676,16295,Not Yet Rated,223
Daring Women,18,2006-07-29,2006-09-24,60.0,7.4,126.0,77531,11159,Not Yet Rated,482
Dark Hole,12,2021-04-30,2021-06-05,60.0,7.6,3708.0,4440,1163,15+ - Teens 15 or older,12056
