kdrama_name,genre
"['romance', 'drama', 'melodrama']", immature male lead
"['romance', 'drama', 'melodrama']", car accident
"['romance', 'drama', 'melodrama']", male chases female first
"['romance', 'drama', 'melodrama']", strong female lead
"['romance', 'drama', 'melodrama']", lying
"['romance', 'drama', 'melodrama']", revenge
"['romance', 'drama', 'melodrama']", rich manpoor woman
"['romance', 'drama', 'melodrama']", pregnancy
"['romance', 'drama', 'melodrama']", neurodevelopmental disorder 
"['comedy', 'drama', 'melodrama']",independent female lead
"['comedy', 'drama', 'melodrama']", motherdaughter relationship
"['comedy', 'drama', 'melodrama']", high school
"['comedy', 'drama', 'melodrama']", corruption
"['comedy', 'drama', 'melodrama']", strong female lead
"['comedy', 'drama', 'melodrama']", school bullying
"['comedy', 'drama', 'melodrama']", double identity
"['comedy', 'drama', 'melodrama']", sexual harassment
"['comedy', 'drama', 'melodrama']", sexual assault
"['comedy', 'drama', 'melodrama']", smart female lead 
"['thriller', 'drama']",miniseries
"['thriller', 'drama']", web series
"['thriller', 'drama']", suspense
"['thriller', 'drama']", antisocial personality disorder
"['thriller', 'drama']", antihero male lead
"['thriller', 'drama']", ripley syndrome
"['thriller', 'drama']", mental illness
"['thriller', 'drama']", adapted from a novel 
"['comedy', 'romance', 'melodrama', 'supernatural']",steamy kiss
"['comedy', 'romance', 'melodrama', 'supernatural']", mistaken identity
"['comedy', 'romance', 'melodrama', 'supernatural']", cold manwarm woman
"['comedy', 'romance', 'melodrama', 'supernatural']", precognition
"['comedy', 'romance', 'melodrama', 'supernatural']", healing
"['comedy', 'romance', 'melodrama', 'supernatural']", lovehate relationship
"['comedy', 'romance', 'melodrama', 'supernatural']", successful male lead
