kdrama_name,day
"['comedy', 'romance']", sunday
"['thriller', 'mystery', 'comedy', 'romance']",saturday
"['thriller', 'mystery', 'comedy', 'romance']", sunday
"['military', 'comedy', 'romance', 'political']",sunday
"['military', 'comedy', 'romance', 'political']", saturday
"['romance', 'drama', 'family', 'melodrama']",monday
"['romance', 'drama', 'family', 'melodrama']", tuesday
"['romance', 'drama', 'family', 'melodrama']", wednesday
"['romance', 'drama', 'family', 'melodrama']", thursday
"['romance', 'drama', 'family', 'melodrama']", friday
"['drama', 'medical']",wednesday
"['drama', 'medical']", thursday
"['action', 'mystery', 'drama']",wednesday
"['action', 'mystery', 'drama']", thursday
"['thriller', 'mystery', 'medical']",monday
"['thriller', 'mystery', 'medical']", tuesday
"['historical', 'romance', 'melodrama', 'political']",NA
"['business', 'comedy', 'romance']",wednesday
"['business', 'comedy', 'romance']", thursday
"['romance', 'life', 'drama', 'family']",monday
"['romance', 'life', 'drama', 'family']", tuesday
"['romance', 'drama', 'medical']",friday
"['romance', 'drama', 'medical']", saturday
"['action', 'military', 'drama']",friday
"['food', 'comedy', 'romance', 'supernatural']",thursday
"['historical', 'war']",saturday
"['historical', 'war']", sunday
"['historical', 'drama']",monday
"['drama', 'medical']",NA
"['business', 'comedy', 'romance', 'drama']",wednesday
"['business', 'comedy', 'romance', 'drama']", thursday
"['comedy', 'romance', 'drama']",wednesday
"['comedy', 'romance', 'drama']", thursday
"['historical', 'mystery', 'romance', 'martial arts']",monday
"['historical', 'mystery', 'romance', 'martial arts']", tuesday
"['business', 'romance', 'drama', 'melodrama']",monday
"['business', 'romance', 'drama', 'melodrama']", tuesday
"['business', 'romance', 'drama', 'melodrama']", wednesday
"['business', 'romance', 'drama', 'melodrama']", thursday
"['business', 'romance', 'drama', 'melodrama']", friday
['romance'],saturday
['romance'], sunday
"['action', 'thriller', 'horror', 'sci-fi']",friday
"['action', 'thriller', 'horror', 'sci-fi']", saturday
"['comedy', 'romance', 'drama']",monday
"['comedy', 'romance', 'drama']", tuesday
"['life', 'drama', 'melodrama']",friday
"['life', 'drama', 'melodrama']", saturday
"['romance', 'drama', 'melodrama']",saturday
"['romance', 'drama', 'melodrama']", sunday
"['life', 'drama', 'melodrama']",friday
"['life', 'drama', 'melodrama']", saturday
"['romance', 'drama']",thursday
"['romance', 'drama']",thursday
"['historical', 'mystery', 'political']",wednesday
"['historical', 'mystery', 'political']", thursday
['romance'],saturday
['romance'], sunday
"['mystery', 'comedy', 'law', 'melodrama']",friday
"['mystery', 'comedy', 'law', 'melodrama']", saturday
"['food', 'comedy', 'romance']",wednesday
"['food', 'comedy', 'romance']", thursday
"['comedy', 'crime', 'drama']",monday
"['comedy', 'crime', 'drama']", tuesday
"['action', 'comedy', 'martial arts', 'sci-fi']",friday
"['mystery', 'comedy', 'romance', 'supernatural']",wednesday
"['mystery', 'comedy', 'romance', 'supernatural']", thursday
"['action', 'comedy', 'romance', 'melodrama']",wednesday
"['action', 'comedy', 'romance', 'melodrama']", thursday
"['thriller', 'mystery', 'drama', 'political']",monday
"['thriller', 'mystery', 'drama', 'political']", tuesday
"['comedy', 'romance', 'drama', 'fantasy']",wednesday
"['comedy', 'romance', 'drama', 'fantasy']", thursday
"['action', 'thriller', 'mystery', 'drama']",saturday
"['action', 'thriller', 'mystery', 'drama']", sunday
"['comedy', 'romance', 'drama']",wednesday
"['comedy', 'romance', 'drama']", thursday
"['action', 'historical', 'romance', 'supernatural']",monday
"['action', 'historical', 'romance', 'supernatural']", tuesday
"['mystery', 'law', 'life', 'drama']",monday
"['mystery', 'law', 'life', 'drama']", tuesday
"['romance', 'life', 'drama']",wednesday
"['romance', 'life', 'drama']", thursday
"['action', 'historical', 'romance', 'medical']",saturday
"['comedy', 'romance', 'life', 'drama']",monday
"['comedy', 'romance', 'life', 'drama']", tuesday
"['comedy', 'romance', 'drama']",monday
"['comedy', 'romance', 'drama']", tuesday
"['thriller', 'mystery', 'law']",monday
"['thriller', 'mystery', 'law']", tuesday
"['music', 'comedy', 'romance', 'life']",NA
"['law', 'drama']",saturday
"['law', 'drama']", sunday
"['comedy', 'law', 'romance']",saturday
"['comedy', 'law', 'romance']", sunday
"['music', 'comedy', 'romance', 'melodrama']",wednesday
"['music', 'comedy', 'romance', 'melodrama']", thursday
"['music', 'romance', 'drama', 'melodrama']",monday
"['music', 'romance', 'drama', 'melodrama']", tuesday
"['thriller', 'mystery', 'drama', 'medical']",wednesday
"['thriller', 'mystery', 'drama', 'medical']", thursday
"['mystery', 'romance', 'life', 'medical']",friday
"['mystery', 'romance', 'life', 'medical']", saturday
"['mystery', 'romance', 'life', 'medical']",friday
"['mystery', 'romance', 'life', 'medical']", saturday
"['thriller', 'law', 'drama', 'medical']",friday
"['thriller', 'law', 'drama', 'medical']", saturday
"['thriller', 'law', 'crime', 'medical']",wednesday
"['thriller', 'law', 'crime', 'medical']", thursday
"['comedy', 'romance', 'drama', 'medical']",NA
"['thriller', 'romance', 'drama', 'medical']",monday
"['thriller', 'romance', 'drama', 'medical']", tuesday
"['action', 'crime', 'youth']",friday
"['romance', 'family']",monday
"['romance', 'family']", tuesday
"['romance', 'family']", wednesday
"['romance', 'family']", thursday
"['romance', 'family']", friday
"['comedy', 'romance']",wednesday
"['comedy', 'romance']", thursday
"['romance', 'drama']",monday
"['romance', 'drama']", tuesday
"['romance', 'drama']", wednesday
"['romance', 'drama']", thursday
"['romance', 'drama']", friday
"['thriller', 'romance', 'drama', 'melodrama']",monday
"['thriller', 'romance', 'drama', 'melodrama']", tuesday
"['comedy', 'romance', 'drama', 'fantasy']",monday
"['comedy', 'romance', 'drama', 'fantasy']", tuesday
"['comedy', 'romance', 'youth', 'drama']",NA
['drama'],monday
['drama'], tuesday
['drama'], wednesday
['drama'], thursday
['drama'], friday
['drama'], saturday
['youth'],NA
"['action', 'drama']",NA
['drama'],wednesday
['drama'], thursday
"['romance', 'drama', 'family', 'melodrama']",saturday
"['romance', 'drama', 'family', 'melodrama']", sunday
"['romance', 'sports', 'melodrama']",monday
"['romance', 'sports', 'melodrama']", tuesday
