kdrama_name,actor
"['romance', 'drama', 'melodrama']",Park Jung Chul
"['romance', 'drama', 'melodrama']", Kwon Yool
"['romance', 'drama', 'melodrama']", Yoon So Yi
"['romance', 'drama', 'melodrama']", Moon Bo Ryung
"['romance', 'drama', 'melodrama']", Jung Yi Yeon
"['romance', 'drama', 'melodrama']", Gu Jae Yi
"['comedy', 'drama', 'melodrama']",Kim Hee Sun
"['comedy', 'drama', 'melodrama']", Ji Hyun Woo
"['comedy', 'drama', 'melodrama']", Kim Yoo Jung
"['comedy', 'drama', 'melodrama']", Kim Ji Soo
"['comedy', 'drama', 'melodrama']", Cha Sun Woo
"['comedy', 'drama', 'melodrama']", Kim Tae Hoon
"['thriller', 'drama']",Bae Suzy
"['thriller', 'drama']", Jung Eun Chae
"['thriller', 'drama']", Kim Joon Han
"['thriller', 'drama']", Park Ye Young
"['thriller', 'drama']", Heo Hyung Kyu
"['thriller', 'drama']", Kang Shin Chul
"['comedy', 'romance', 'melodrama', 'supernatural']",Eric Mun
"['comedy', 'romance', 'melodrama', 'supernatural']", Seo Hyun Jin
"['comedy', 'romance', 'melodrama', 'supernatural']", Jeon Hye Bin
"['comedy', 'romance', 'melodrama', 'supernatural']", Ye Ji Won
"['comedy', 'romance', 'melodrama', 'supernatural']", Kim Ji Suk
"['comedy', 'romance', 'melodrama', 'supernatural']", Lee Jae Yoon
"['comedy', 'romance', 'life', 'drama']",Shin Yeon Suh
"['comedy', 'romance', 'life', 'drama']", Kang Tae Joo
"['comedy', 'romance', 'life', 'drama']", Lee Ka Eun
"['comedy', 'romance', 'life', 'drama']", Jang Won Hyuk
"['comedy', 'romance', 'life', 'drama']", Jo Han Joon
"['comedy', 'romance', 'life', 'drama']", Jung Sang Hoon
"['romance', 'drama']",Park Ha Na
"['romance', 'drama']", Kang Eun Tak
"['romance', 'drama']", Song Won Geun
"['romance', 'drama']", Baek Ok Dam
"['romance', 'drama']", Kim Min Soo
"['romance', 'drama']", Hwang Jung Seo
"['romance', 'drama', 'melodrama']",Park Soo Ae
"['romance', 'drama', 'melodrama']", Lee Jung Jin
"['romance', 'drama', 'melodrama']", Jo Han Sun
"['romance', 'drama', 'melodrama']", So Yi Hyun
"['romance', 'drama', 'melodrama']", Lee Jung Gil
"['romance', 'drama', 'melodrama']", Kim Ki Bum
"['historical', 'comedy', 'romance', 'supernatural']",Lee Joon Gi
"['historical', 'comedy', 'romance', 'supernatural']", Shin Min Ah
"['historical', 'comedy', 'romance', 'supernatural']", Yeon Woo Jin
"['historical', 'comedy', 'romance', 'supernatural']", Kwon Oh Jung
"['historical', 'comedy', 'romance', 'supernatural']", Hwang Bo Ra
"['historical', 'comedy', 'romance', 'supernatural']", Han Jung Soo
"['comedy', 'romance', 'sci-fi', 'fantasy']",Seo Kang Joon
"['comedy', 'romance', 'sci-fi', 'fantasy']", Gong Seung Yeon
"['comedy', 'romance', 'sci-fi', 'fantasy']", Lee Joon Hyuk
"['comedy', 'romance', 'sci-fi', 'fantasy']", Park Hwan Hee
"['comedy', 'romance', 'sci-fi', 'fantasy']", Kim Sung Ryung
"['comedy', 'romance', 'sci-fi', 'fantasy']", Yoo Oh Sung
"['mystery', 'drama', 'political']",Kim  Joo Hyuk
"['mystery', 'drama', 'political']", Chun Woo Hee
"['mystery', 'drama', 'political']", Park Won Sang
"['mystery', 'drama', 'political']", Shin Hyun Bin
"['mystery', 'drama', 'political']", Park Hee Bon
"['mystery', 'drama', 'political']", Shim Ji Ho
"['historical', 'romance', 'fantasy', 'political']",Song Joong Ki
"['historical', 'romance', 'fantasy', 'political']", Jang Dong Gun
"['historical', 'romance', 'fantasy', 'political']", Kim Ji Won
"['historical', 'romance', 'fantasy', 'political']", Kim Ok Bin
"['historical', 'romance', 'fantasy', 'political']", Kim Eui Sung
"['historical', 'romance', 'fantasy', 'political']", Park Hae Joon
"['thriller', 'mystery', 'psychological', 'drama']",Park Soo Ae
"['thriller', 'mystery', 'psychological', 'drama']", Kim Kang Woo
"['thriller', 'mystery', 'psychological', 'drama']", Kim Mi Sook
"['thriller', 'mystery', 'psychological', 'drama']", Lee Yi Dam
"['thriller', 'mystery', 'psychological', 'drama']", Lee Hak Joo
"['thriller', 'mystery', 'psychological', 'drama']", Kim Young Jae
"['comedy', 'romance', 'sci-fi']",Gong Hyo Jin
"['comedy', 'romance', 'sci-fi']", Lee Min Ho
"['comedy', 'romance', 'sci-fi']", Han Ji Eun
"['comedy', 'romance', 'sci-fi']", Oh Jung Se
"['comedy', 'romance', 'sci-fi']", Kim Joo Heon
"['comedy', 'romance', 'sci-fi']", Lee El
"['action', 'romance', 'drama', 'sports']",Jung Woo Sung
"['action', 'romance', 'drama', 'sports']", Lee Byung Hun
"['action', 'romance', 'drama', 'sports']", Lee Young Ae
"['action', 'romance', 'drama', 'sports']", Kim Soo Mi
"['action', 'romance', 'drama', 'sports']", Jo Min Soo
"['action', 'romance', 'drama', 'sports']", Park In Hwan
"['law', 'drama', 'political']",Jung Jae Young
"['law', 'drama', 'political']", Song Yoon Ah
"['law', 'drama', 'political']", Jang Hyun Sung
"['law', 'drama', 'political']", Park Young Gyu
"['law', 'drama', 'political']", Ok Taec Yeon
"['law', 'drama', 'political']", Kim Seo Hyung
"['comedy', 'romance', 'life', 'drama']",Ong Seong Wu
"['comedy', 'romance', 'life', 'drama']", Kim Hyang Gi 
"['comedy', 'romance', 'life', 'drama']", Shin Seung Ho
"['comedy', 'romance', 'life', 'drama']", Kang Ki Young
"['comedy', 'romance', 'life', 'drama']", Lee Seung Min
"['comedy', 'romance', 'life', 'drama']", Kim Do Wan
"['romance', 'life', 'youth']",Park Ji Hoon
"['romance', 'life', 'youth']", Kang  Min Ah
"['romance', 'life', 'youth']", Bae In Hyuk
"['romance', 'life', 'youth']", Kwon Eun Bin
"['romance', 'life', 'youth']", Choi Jung Woo
"['romance', 'life', 'youth']", Woo Da Vi
"['drama', 'melodrama']",Kim So Yeon
"['drama', 'melodrama']", Jung Ryeo Won
