kdrama_name,tags
Romance Is a Bonus Book, nice male lead
Romance Is a Bonus Book, soulmates
Romance Is a Bonus Book, slow burn romance
Romance Is a Bonus Book, older womanyounger man
Romance Is a Bonus Book, secret crush
Romance Is a Bonus Book, office worker 
Signal,different timelines
Signal, butterfly effect
Signal, murder
Signal, hwaseong serial murders
Signal, suspense
Signal, criminal profiler
Signal, investigation
Signal, death
Signal, tragic past
Signal, corruption 
Prison Playbook,prison
Prison Playbook, bromance
Prison Playbook, wrongfully accused
Prison Playbook, life lesson
Prison Playbook, slight romance
Prison Playbook, strong male lead
Prison Playbook, character development
Prison Playbook, murder
Prison Playbook, baseball
Prison Playbook, black comedy 
Yumi's Cells,slice of life
Yumi's Cells, adapted from a webtoon
Yumi's Cells, friendship
Yumi's Cells, mixed live actionanimation
Yumi's Cells, energetic female lead
Yumi's Cells, blind date
Yumi's Cells, game developer male lead
Yumi's Cells, competent female lead
Yumi's Cells, successful female lead
Yumi's Cells, character development 
Ghost Doctor,doctor male lead
Ghost Doctor, spirit
Ghost Doctor, bromance
Ghost Doctor, ghost
Ghost Doctor, spirit possession
Ghost Doctor, doctor female lead
Ghost Doctor, arrogant male lead
Ghost Doctor, ghostseeing male lead
Ghost Doctor, rich male lead
Ghost Doctor, slight romance 
Doctor Lawyer,thoracic surgeon male lead
Doctor Lawyer, middleaged male lead
Doctor Lawyer, prosecutor female lead
Doctor Lawyer, lawyer male lead
Doctor Lawyer, genius male lead
Doctor Lawyer, corruption
Doctor Lawyer, ambassador supporting character
Doctor Lawyer, thoracic surgeon supporting character
Doctor Lawyer, investigator supporting character
Doctor Lawyer, excouple relationship 
Good Doctor,autism
Good Doctor, eccentric male lead
Good Doctor, ableism
Good Doctor, child abuse
Good Doctor, slow burn romance
Good Doctor, doctor female lead
Good Doctor, doctor male lead
Good Doctor, autistic male lead
Good Doctor, savant syndrome
Good Doctor, mental illness 
Beauty Inside,prosopagnosia
Beauty Inside, successful male lead
Beauty Inside, strong female lead
Beauty Inside, calm male lead
Beauty Inside, secondary couple
Beauty Inside, contract relationship
Beauty Inside, rich female lead
Beauty Inside, rich male lead
Beauty Inside, sismance
Beauty Inside, secret 
Oh My Venus,weight loss
Oh My Venus, makeover
Oh My Venus, cohabitation
Oh My Venus, body image
Oh My Venus, bromance
Oh My Venus, rich male lead
Oh My Venus, hidden identity
Oh My Venus, hardworking male lead
Oh My Venus, hardworking female lead
Oh My Venus, steamy kiss 
Fight for My Way,friends to lovers
Fight for My Way, strong male lead
Fight for My Way, strong female lead
Fight for My Way, badass male lead
Fight for My Way, character development
Fight for My Way, secondary couple
Fight for My Way, exgirlfriend comes back
Fight for My Way, poor male lead
Fight for My Way, first love
Fight for My Way, hardworking male lead 
Love in the Moonlight,crossdressing
Love in the Moonlight, joseon dynasty
Love in the Moonlight, hidden identity
Love in the Moonlight, first love
Love in the Moonlight, male chases female first
Love in the Moonlight, lovers separated
Love in the Moonlight, opposites attract
Love in the Moonlight, bromance
Love in the Moonlight, love triangle
Love in the Moonlight, prince male lead 
Her Private Life,bossemployee relationship
Her Private Life, independent female lead
Her Private Life, eccentric female lead
Her Private Life, orphan male lead
Her Private Life, smart male lead
Her Private Life, calm male lead
Her Private Life, sismance
Her Private Life, fan culture
Her Private Life, steamy kiss
Her Private Life, strong female lead 
SKY Castle,multiple mains
SKY Castle, social commentary
SKY Castle, family pressure
SKY Castle, medical
SKY Castle, social satire
SKY Castle, satire
SKY Castle, motherdaughter relationship
SKY Castle, death
SKY Castle, social problems
